"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"68",83949236.703211,46660472.6521212,190588972.609975,138600407.189627,94280083.1452335,230224891.976982,155086166.607221,181700381.30962,103340690.979176,47970663.0079226,83486071.023899,185910730.866913,70639511.377947,181300984.539396,163032572.72,129874988.813181,246639798.148852,60987382.875265,687384555.51,140131203.353487,338797829.79,9310132.793983,17382884.884923
"69",1209361.2696097,637118.71327672,789050.53032471,475081.36247814,578037.263871994,1720628.38517469,475302.988727639,2190960.56916929,765374.864721445,520782.671387788,1138127.955253,2164988.0993,66609.38474,3238194.712,2455506.2622,1320168.507937,806468.7794,985625.3375,4911886.148,1467226.69754,2083387.3427,279314.528463,213375.250336
"70",131053340.924081,143526555.410378,281509147.915214,87765556.1226525,199132476.187991,648946068.415642,443830891.259501,663971540.407875,286836956.645656,102329768.23271,259721335.603561,550019572.016393,15977863.558192,494677426.907314,274546449.46967,171531022.704651,506111118.024,290410726.172458,1800401896,306528959.399847,1235982286.4,1476683.76613592,65295330.351126
"71",2926940.08474114,1119062.29703413,3807593.92219234,3265503.01728378,2426176.70616302,7341096.78088761,3119127.38445851,8441160.42758057,3227616.10539348,1573978.91463543,1547331.222597,5600951.321,123485.6394,2758518.918,2874662.966,2045059.566699,2988688.34,3315593.35,13940624.91,5179914.39743,5547450.75248,97410.045963,210130.050194
"72",48671479.7216863,29159650.5222806,34814489.7765507,22094343.3576049,3751928.6587328,24013255.6818976,11786923.6584867,14709182.8372432,487866.454563029,3773787.7683996,13072806.70216,14521190.0199101,128463.3311944,1655753.455592,3682626.850733,69602.7380691,22068718.4928,4010091.4019,16160792.381,1591969.54778761,10579399.28,27921.3582236311,8013415.55096778
"73",22880108.2531852,89093.2358856761,9216428.53947446,1813723.45498074,1637236.44425385,7313426.51692156,1680861.00226748,3222568.83235423,374678.714790473,3833887.33145137,1918837.593013,8941186.39257749,139041.89297417,1792094.9055899,3985864.0169321,4441394.494293,8651081.493908,3023653.785972,6497667.148149,3918873.55257289,7828256.938124,9369.952756815,2689170.3250452
"74",5390694.16395556,30357878.9804862,7967868.24396259,6169166.39064562,3041212.16244373,21729071.6892795,6487414.74311832,8310400.23764768,5284588.0058012,4831012.00109206,2921406.050966,15021698.795675,161263.641183,2078508.48916,4622892.35285,1477556.303255,8935635.876,2370510.638805,45404285.03204,585820.697306,2344308.50321,13371.45173329,638196.55938
"75",4109040.20519629,1276255.91192323,1775578.38916618,722287.91122457,192343.489329383,1378777.49428586,820040.818422693,291275.139154897,402904.248869244,142866.125690633,435915.965451,488733.676233,16.8980696161,217.79684124,484.41080802,86815.2584474,609697.81914,136361.335633,812454.59219,584840.825146,731681.413667,1.87755997125,538.85936855
"76",575319.940935883,471670.378640843,836016.849488398,533283.55570171,329061.357764543,1378382.42544829,639497.706260211,2414078.53038191,1117477.67870544,463348.442026873,2060054.0345,1600556.16599,49867.18298,1063051.5681,1102451.8489,734765.6262,633715.7166,628625.0356,4225793.818,1468503.597895,1892415.09124,33330.119926,73974.60889
"77",3695072.03546773,474882.483688278,5985092.33296963,1961360.92138537,1793439.53300929,2988141.0080739,1499260.67492347,3308820.33867537,1499562.02882847,429995.317125069,2829994.64299,4333056.473321,1010455.8352229,3799739.319356,2126415.744546,794046.7562502,5693686.954471,1575143.1782715,6073908.6739,1969420.335179,4685695.344467,12.223552,307875.722663
"78",2073593.96693595,1542060.28067514,3138724.03576284,3321886.76656842,2050586.49276954,6473661.3731602,2549214.15614005,5763688.25645414,1790287.80743421,1492280.57556522,2843984.194414,4376161.2696,146917.9846,4135286.075,4400396.2538,3076138.71517,2753744.74,2688693.211,19480537.57,5827705.51834,9731485.8783,101904.407952,216095.279251
"79",236219.725790699,128496.898010111,215955.14384521,129547.596707216,177786.762590128,347421.498729544,159558.03515566,416267.904866471,189254.222052927,92992.677812908,215294.936436,337430.86316,6741.003857,216446.2281,168248.5677,121685.234396,124583.6331,100686.64003,762597.4154,438988.14002,418170.22666,3070.559876,20872.9237837
"80",507850.61547231,91653.9372178438,155651.500912966,67099.6665575965,102445.865036913,227262.223833062,119927.812466895,223111.605415446,105818.154187292,85060.7096270513,70395.322288,107120.615465,7860.73859,117601.24894,104877.33923,89710.815196,94147.40748,114159.79856,543914.1198,218353.454274,272462.538609,4164.57695,18587.659582
"81",1021197.18540625,1607478.60920377,1634700.82631626,906904.975586345,1494343.15336424,4059556.48703431,1579513.12725936,5248704.95528395,1915027.91542814,842692.019191907,5754728.94541,2614056.978,80539.66806,1757231.688,1036249.3578,933747.175919,1540251.843,1579217.131,9434304.995,5181515.88556,4650082.3486,46078.875943,139239.257126
"82",497812.432669007,266093.082230481,760179.0610138,232266.819595682,492693.848190423,1295155.03805431,568342.39312097,1421434.44873003,546564.783958558,254752.033282903,270363.86419,726568.89727,18830.29925,574230.627,359805.0903,318653.84956,566662.211,528211.7275,4387204.205,684533.23592,1275095.9012,9076.223034,37682.80292
"83",4997273.57167482,4791910.76104308,7070781.16135983,4052784.01376796,3159687.86074851,6572927.86457892,1328855.74261454,4356457.44296088,2081888.77892256,1208438.89976009,3388536.0087927,5394138.3938693,1669465.9432818,5142242.4516439,5551991.9944732,1057712.550762,7844376.247777,2303472.5868677,7588301.75645,3391613.1509485,7722746.0312,25922.4571052,871453.5647448
"84",3588114.9413885,4010906.70671801,5657663.76059665,2396557.41860776,7023022.42115963,10418405.7689562,11891042.9869261,33210173.4636698,5779715.89968681,1593716.38135569,1586918.46685,4852898.602197,768562.078183,3287433.718883,2754014.031741,1331507.6372912,2916287.705874,2706412.466925,103021930.40111,4184343.809185,7551210.138971,62045.411036,177468.396284
"85",1351195.33302947,587234.823776633,1609243.41695732,2963026.06894232,731263.164289044,2214070.41233259,1049971.98490027,2539943.54011509,416615.641902959,675411.667813443,1594889.0363272,1192920.935538,24151.416711,2381997.1519,4444968.5915,2034675.268532,1444972.0718,648648.17729,9633323.0247,2839714.6736111,9700220.50424,17920.7736879,478322.58634
"86",786291.355149639,235593.752778927,778747.982699483,563852.327782013,507842.170682883,1482548.24408251,649448.902649144,1885523.14122641,777412.532092551,361162.332141871,543138.706867,1450020.423764,34814.539872,1192021.985241,1040472.548061,696736.40471,919927.23618,823741.525789,4391875.332449,1260999.749329,1797092.759697,14953.314229,51893.539755
"87",767469.870078602,219291.546911505,451893.257277902,212215.548945575,282986.623574171,845362.384880615,340197.491378101,984041.132123625,388310.187745241,194385.411213567,235731.160601,474883.05111,23103.19295,611803.819,604121.0798,431343.512504,435917.1117,446139.691,2358180.544,462275.14291,918985.99134,12910.106706,33548.834889
"88",47073076.0178095,28363829.0815246,67351230.4089331,20150752.6319554,19034136.0257758,79302843.4414465,37875160.3460185,78942552.7506,19522843.3060945,6114920.46257115,16906171.086336,11620382.038564,984977.8956911,12695276.195148,28236070.228633,25412800.942582,38491763.592793,19027076.970663,43809178.70536,25455571.9712,28468416.71553,508089.982495,639701.0287
"89",287921.262473632,135269.130553115,349105.040586737,220633.819803103,225811.991633446,509941.892847426,250640.548140535,886299.048922101,256326.328452373,204596.600137875,89740.438624,279717.2239,7581.38978,291703.6023,278150.29961,151776.057958,167090.0517,200723.97473,1202657.1769,411288.019168,488437.12812,3256.770107,20216.592518
"90",3049753.18983726,289370.423102841,1134312.6749862,454376.708751707,647799.927507746,1887984.06055387,701399.428599893,2574398.7434391,1052350.26483846,406646.384554937,414145.577786,1597801.538084,39199.655726,1140345.256101,1013928.660402,743852.117096,898331.52736,857770.234118,4761451.903678,1708993.513478,2071669.067201,23042.5827281,59311.595087
"91",891505.982079943,124168.568707292,1792815.38882613,1010372.33688865,829210.083838437,2078920.85916726,569017.352881376,10659713.3459843,1146582.49609269,629844.908384082,626967.5465881,935723.0377238,382587.65136702,524042.373098,483815.81363488,1649286.53618052,1027629.1975574,289808.11498291,2853727.1898686,651911.7978402,1730383.06845,3777.00933142,96376.0576915
"92",692341.17017139,593862.123165873,353168.7930948,200493.36572686,268482.178136391,679844.844961809,322506.319947064,910314.087245827,510189.56455652,177986.266629376,342378.696953,450037.68581,9232.731136,285524.231988,288585.60439,187169.465086,211491.908185,223122.687206,1293979.492183,608917.128089,649947.846747,7686.854896,28820.978581
"93",1311872.18616971,315588.299132252,1844347.17408589,2367036.83988896,480504.443750583,1573606.90604497,509095.457903815,544381.369908573,230172.657596011,206855.562571226,478647.994897,1520260.11331689,21483.415664,967052.07462,177287.37383,1243834.01131648,1391154.215326,452711.318407,2407417.07109,1017047.4266688,1225721.703986,30679.79166516,14.95041825
